utterances,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
그런 차원에서 보면 장 총리후보자께서는 여성이시기 때문에 어머니와 같이 섬세한 그런 것으로 서민들의 애환을 잘 처리해 주실 것으로 믿는데 어떻습니까?,L,여성,"어머니, 섬세",,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
"본 위원이 돌아갈 시간은 한 1년 남았는데 출산일이 가까워 오면서 그때 본 위원은 우리 집사람과 의논하기를, 옆의 사람들이 자꾸 거기서 낳아가지고 미국국적을 하나 얻어두라는 것입니다.",L,여성,집사람,,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
그래서 우리 집사람하고 의논한 결과 이 아이를 만일 미국에서 낳게 되면 미국국적을 취득 하느냐 안 하느냐 이런 문제가 생길 것이고 또 앞으로 병역문제라든지 또 심지어는 권하는 사람들이 한국에 가서 PX 들어가기도 좋고 그것 희한하지 않느냐 이런 얘기까지 하는 사람이 있었어요.,L,여성,집사람,,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
그래서 우리 집사람이 한 10개월 일찍 귀국을 해서 세브란스병원에서 아이를 낳았고 현재 그 아이가 군에 복무 중입니다.,L,여성,집사람,,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
그래서 쌀은 어떻게 보면 우리의 고향이고 어머니이고 정신이다 이렇게 생각이 되는데,L,여성,"쌀, 고향, 어머니",,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
지금 여성총리가 되면 우리 가정에 있는 주부들이 살림을 살아 나가는데 장바구니 가계에 대해서 걱정을 많이 하는데 총리가 되면 아주 유리하겠다 이렇게 많은 주부들이 생각을 할 것입니다.,L,여성,주부,,,16,232,3,국무총리(장상)임명동의에관한인사청문특별위원회,A
"장관님, 21세기는 ‘미감유창의 시대’라고 합니다. 아름답고, 감성적이고, 부드럽고, 창조적인 사람들이 주도하는 시대라고 합니다. 바로 여성을 의미하겠지요. 여성이 중심이 되는 그런 세상이 되면 세상이 편안하고 또 평화로워진다고 합니다.",L,여성,"아름답고, 감성적이고, 부드럽고, 여성",,,18,294,,여성가족위원회,A
아버지는 그래도 생계를 해야 되니까 직장 나가잖아.,L,남성,"아버지, 생계",,,18,294,,여성가족위원회,A
"출생공제라는 게 있습니다. 출생공제가 지금 현행 1명당 30만 원 세액공제를 하고 있는데요, 이 부분을 다자녀, 그러니까 2자녀ㆍ3자녀일 경우에 확대하는 방안을 검토를 하겠습니다.",H,여성,출생,,,20,344,2,저출산·고령화대책특별위원회,A
"대표적인 게 비행기 여승무원들 스튜어디스들 이런 분들 같은 경우는, 지금 인천공항에는 수천 명의 스튜어디스가 있는데 갈 때마다 시댁에다가 맡기고 또 사람 써서 맡기고 하니까 사실 이게 문제가 심각합니다. 이런 것도 여승무원들이 자기 애들 데리고 와 가지고서 거기 24시간 돌봄센터…… 1분만 더 쓰겠습니다. 24시간 돌봄센터 같은 걸 만들어 놓으면 거기에 맡겼다가 외국 일정 마치고 들어오면서 자기 꼬맹이 데리고 집에 가고 그러면 정서적으로도 좋고 아마 비행기 여승무원들도 아기 낳는 것에 훨씬 더 용기를 낼 수 있으리라고 생각이 됩니다.",L,여성,"여승무원, 시댁, 자기 애들, 돌봄센터, 아기 낳는 것에 훨씬 더 용기",,,20,344,2,저출산·고령화대책특별위원회,A
후보자야 선의로 ‘우리 집사람이 너무 흥분을 해 가지고 그렇습니다. 그런데도 잘 좀 다시 한번 파악해 주십시오’라고 했을지 모르겠지만 듣는 사람 입장에서는 어떻겠습니까?,L,여성,집사람,,,20,371,4,법제사법위원회,A
사실은 애기들은 학교를 다녔기 때문에요 저하고 집사람만 갔었습니다.,L,여성,집사람,,,20,351,2,안전행정위원회,A
집사람은 왔다 갔다 했습니다.,L,여성,집사람,,,20,351,2,안전행정위원회,A
처남집에 저하고 집사람이 먼저 가 있었고 아마 아이들을 위해서 집사람은 왔다 갔다 한 것으로 그렇게 알고 있고요.,L,여성,집사람,,,20,351,2,안전행정위원회,A
"제가 혹시 직무관련성 여부를 말씀하시는데 저희 집사람은 컴퓨터를 판매하는 게 아니고 컴퓨터를 누가 대기업에 납품을 하거나 하면 그 컴퓨터를 보통 사람들이,",L,여성,집사람,,,20,351,2,안전행정위원회,A
제가 정치를 하는 동안 또 사회운동을 하는 동안 사실 가계를 저희 집사람이 꾸려왔기 때문에 저런 여러 가지 흠결은 사실은 제가 져야 될 몫입니다.,L,여성,집사람,,,20,351,2,안전행정위원회,A
아마 2013년부터 급격히 회사가 어려워지니까 기왕에 있던 대표자들이나 이런 분들이 다 사임을 하면서 저희 집사람한테 마지막 이거 회사 정리하라고 해서 아마 주식을 모아 준 것 같습니다.,L,여성,집사람,,,20,351,2,안전행정위원회,A
"왜냐하면 사실상 2014년, 15년에 저희 집사람 월급명세표를 보면 하나도 못 가져왔습니다. 그래 놓으니까 집사람은 사실상……",L,여성,집사람,,,20,351,2,안전행정위원회,A
집사람은 방송통신대학을 졸업하고 한양대 대학원에서 사회복지학을 전공했습니다.,L,여성,집사람,,,20,351,2,안전행정위원회,A
"여러 가지, 집사람이 그동안 참 저 대신에 고생을 많이 해서 제가 뭐라고 이렇게 강요하기가 어려웠던 점은 있는 것 같습니다.",L,여성,집사람,,,20,351,2,안전행정위원회,A
그다음에 여성이 육아의 부담에서 해방이 되면 일을 할 수가 있거든요. 그러면 사회에서 필요한 노동력을 우리가 끌어올 수 있습니다. 그런데 지금 경력단절 여성의 취업률이 굉장히 낮습니다. 그런데 이런 보육에 대한 부담을 줄여주면 여성이 계속 일을 할 수가 있고 일자리의 질도 높은 일을 할 수가 있거든요.,H,여성,"여성, 육아의 부담",,,18,294,,기획재정위원회,A
"고용보험기금 사업 중에 제가 궁금한 건 모성보호육아지원 사업입니다. 일․가정 양립 지원, 경력 단절 예방 또 남성의 육아 참여 활성화 등 저출생 사회 극복을 위해 꼭 필요한 사업입니다.",H,여성,저출생,,,21,410,1,예산결산특별위원회,A
"제가 투기 목적으로 한 것은 아니고 집은 저희 집사람이 결혼할 때부터 있던 집에 죽 살고 있었는데, 그러니까 어떻든 간에 좀 더 집을 넓히려고 신청을 했나 봐요. 그 신청을 했는데 생각지도 않게 당첨이 되어서……",L,여성,집사람,,,19,313,2,보건복지위원회,A
"그런데 저는 어떻게 생각해 보면 2시간, 3시간, 그러니까 전업주부일지라도, 아이를 전담해서 키우는 엄마일지라도 저는 분명히 여성 자신들을 위해, 아니면 아빠들도 마찬가지고요. 보육을 전적으로 담당하는 사람들은 일정 시간 자기 계발을 위한 시간이 필요하고 국가가 그것을 어느 정도 지원해 줄 책임이 있다고 생각합니다",H,여성,"엄마, 아빠, 보육",,,19,313,2,보건복지위원회,A
"언론이 자체적으로 이 상황이 심각하다는 걸 보여 주는데, 제가 이 심각성을 한번 예를 들어 말씀드려 보겠습니다. “남편에게만 보여 주는 애교를 우리 국민들에게도 보여 주면 좋겠다”, 어떻게 들리십니까? 스포츠방송에서 이런 발언이 왜 필요합니까?",H,여성,"심각성, 남편, 애교",,,20,346,,미래창조과학방송통신위원회,A
남편에게만 보여 주는 애교를 우리 국민들에게도 보여 주면 좋겠다,L,여성,"남편, 애교",,,20,346,,미래창조과학방송통신위원회,A
"정종기 사무처장은 정통부하고 방송통신위원회에서 잔뼈가 굵은 공직자입니다. 그런데 이분이 지난번 종편 재승인 과정에서 심사자료 비공개해서 물의 빚었지요? 종편백서 비공개로 논란의 중심에 섰지요? 하여튼 이 종편에 관한 한 말썽을 무지하게 많이 부리신 분으로 유명한 분입니다. 제가 그래서 오늘 시간이 있으면 이분한테 여러 가지를 묻고 싶었는데, 방송은 물론이고 단통법이니 관련해서 많이 묻고 싶었어요. 그런데 시간이 없어서 제가…… 그런데 이분은 도대체 어떻게 생기셨습니까? 한번 얼굴 좀 뵐까요? 굉장히 잘생기셨네요.",L,남성,"얼굴, 잘생기셨네요",,,20,346,,미래창조과학방송통신위원회,A
"아내 하나도 제대로 관리 못 하는 사람이 엄청난 R&D 예산이 있고 할 과기부장관으로 온다는 자체가 잘못된 겁니다. 조그마한 가정 하나도 관리 못 하는 사람이 과기부 전체의 몇조 되는, 몇십조 되는 예산을 어떻게 관리하겠습니까?",L,남성,"아내, 관리",,,20,371,1,과학기술정보방송통신위원회,A
"장남인데 전혀 터치 안 하고. 배우자도 관리 못 하니까 다른 분도 다 관리가 안 되겠네요, 그렇지요?",L,남성,"배우자, 관리",,,20,371,1,과학기술정보방송통신위원회,A
아들을 키우는 엄마들도 정말 이해를 할 수가 없는 부분입니다.,L,여성,"아들, 엄마",,,18,284,2,여성위원회,A
직장에 나와서는 직장이 우선이고 집에 가서는 아이들을 돌봐야 되는 게 우리나라 현실의 엄마들이 하는 일이라고 생각하는데 대학교수로서 이렇게 해마다 외국에 나가신 것은 어떻게 생각하십니까?,L,여성,"아이들을 돌봐야, 현실의 엄마",,,18,284,2,여성위원회,A
"그런데 지금 다문화가정, 외국에서 한국으로 시집 온 그런 예쁜 분들이 농촌에서 생활하면서 자녀를 많이 낳고 있습니다.",L,여성,예쁜,,,18,284,2,여성위원회,A
남성분들께서 그렇게 말씀하시는 것은 개인적으로 전에 비해서 가정에서 좀 더 가정에 충실한 가장으로서의 역할을 하시는 것을 의미한다고 생각됩니다.,L,남성,"남성, 가장",,,18,284,2,여성위원회,A
"가정폭력의 피해자로서 여성만 있는 게 아니라 남성도 있습니다. 그런데 가정폭력피해 보호시설에는 아버지, 남성이 갈 곳이 있습니까 없습니까,",H,남성,"가정폭력, 피해자, 남성",,,21,400,9,예산결산특별위원회,A
"여기 보면 성폭력 피해자가 모여 있는 쉼터에 가해자로 추정되는 인물이 침범한다고 하면 이 성폭력 피해자는 얼마나 끔찍하겠습니까? 특히 전 남편이라든가 또 과거에 사귀였던 남자, 스토킹 가해자 이런 사람들이 더 큰 범죄를 할 수 있는 아주 위험한 상황인데요.",L,남성,"가해자, 남편, 남자",,,21,400,9,예산결산특별위원회,A
부인이 1억 7000만 원의 뇌물을 받았는데 남편이 모를 수가 있습니까?,L,남성,"남편, 부인",,,15,181,10,예산결산특별위원회,A
그렇다면 부인이 6000만 원이나 되는 돈을 선거비용으로 썼는데 남편이 몰랐다…… 그것은 어불성설이지요.,L,남성,"남편, 부인",,,15,181,10,예산결산특별위원회,A
"따라서 사회적 약자라고 할 수 있는, 또 어떤 소외계층이라고 할 수 있는 여성이나 장애인 조정위원의 위촉을 증가시킬 의향이 없으십니까?",H,여성,"사회적 약자, 소외계층",,,17,250,,법제사법위원회,A
성희롱이나 이런 문제는 주관적인 부분에 있어서의 의도성과는 전혀 상관이 없는 것입니다.객관적으로 존재하는 부분이고 피해 당사자들의 부분이 있고 그 주위에 있는 부분들이 있는 거예요. 그것을 전제하지 말고 사과를 다시 하십시오.,H,모두,"성희롱, 의도성",,,20,364,,보건복지위원회,A
"본 위원은 현재 우리나라 저출산의 가장 큰 원인은 여성이 육아를 대부분 책임지는 여성 독박육아라고 생각하는데요, 과거와 다르게 요즘은 여성이 직장생활하면서 출산ㆍ양육까지 담당하고 있습니다. 이제 남성들이 육아에 적극적으로 나서야 하고 사회가 이런 분위기 만들어 주어야 합니다.",H,여성,"남성, 육아",,,20,364,,보건복지위원회,A
"지금 세계적으로 확립되고 있는 남녀고용평등에서 가장 중요한 것은, 여성이 남성에게 없는 임신, 출산, 수유기능 즉 이것을 모성기능이라고 하는데 이 모성기능을 고유하게 가진다는 것 외에는 노동영역에 있어서 남자와 여자는 차이가 없다 따라서 이것은 평등하게 대우해 주어야 된다 이런 것입니다.",H,여성,"노동영역, 차이, 평등",,,16,215,12,환경노동위원회,A
여성은 직장생활을 하기 위해서 세 가지 짐을 남성들보다 더 지고 있습니다. 여성인력은 남성보다 못할 것이라는 잘못된 사회적인 편견의식 또 그것에 바탕을 둔 잘못된 사회관행 거기에다가 덧붙여서 여성의 모성보호나 가정이나 직장을 양립하기 위한 비용을 국가가 전액 부담해야 함에도 불구하고 우리나라는 그동안 사업주에게만 부담시켜 왔습니다. 그렇기 때문에 아무리 남녀고용평등법을 만들더라도 그것이 이행되는 데에는 이 세 가지 요소가 작용해서 여성은 아무리 뛰어도 다리를 묶어 놓고 뛰는 것과 같은 결과를 가져왔습니다.,H,여성,편견의식,,,16,215,12,환경노동위원회,A
저도 집사람이 아이날 때 한 달에 한 번씩 병원에 가서 직접 데리고 가고 했지만 그것이 하루종일 필요한 휴가라고 위원님께서 생각하십니까,L,여성,집사람,,,16,215,12,환경노동위원회,A
이것이 현실적으로 맞는지 모르지만 앞으로 남성이 여성으로부터 성희롱을 당 하는 그런 사례가 없다 이렇게 얘기할 수가 없는 상황입니다. 그렇다고 할 때 현재 남녀고용평등법에 여성만을 보호하는 성희롱 문제는 남녀고용이 평등하고 근로조건도 같고 모든 것이 같게 나가고 있는 국내 심지어는 국제 추세라는 것은 말할 것도 없지만…… 그렇다면 남성이 직장 내에서 여성으로부터 성희롱을 당했을 경우 거기에 대한 고발 내지는 보호 이것을 법으로 제도화하는 그런 문제를 노동조합에서 제기해야 되는 것이 아닌가 생각하는데 그 부분은 어떻게 생각하세요?,H,남성,"남성, 성희롱",,,16,215,12,환경노동위원회,A
"그러니까 여성만 보호하는 것으로서 지금 여기에 앉아 있는 분의 대개가 그렇게 머리 속에 들어있지 않느냐 이 말입니다. 그래서 아까 노동조합의 의견 중에 뭐가 나왔느냐 하면 기업 내에 그것을 전담하는 어떤 부서나 직원을 둘 필요가 있다고 했을 경우에 그 직원을 남자로 둘 것이냐, 여자로 둘 것이냐 하는 문제도 현실적으로 직장에 따라서 달라질 수가 있다 이것이지요. 그럴 경우에 여성이 성희롱을 당했을 때는 여성이 오히려 그 업무를 담당하는 것이 여성보호를 위해서 활동하는데도 그렇고 유리할 것입니다. 반대로 남성이 당했을 때는 여성 담당직원은 공평하게 할 수 없기 때문에 그것은 또 남성이 담당해야 되는 경우가 있을지도 모릅니다. 그런 부분에 대해서 나는 전혀 현실성이 없다고 생각하지 않습니다. 왜냐하면 여성이 절대다수를 점하고 있는 그런 직장 안에서는 그것이 말썽이 되지 않아서 그렇지 그런 일은 허다하게 있을 수 있기 때문에 그 부분까지도 노동조합이 대비하고 감안을 해야 될 것이 아니겠느냐 하는 것입니다.",H,모두,"여성, 남성, 공평",,,16,215,12,환경노동위원회,A
그런데 아까 말씀하셨지만 제가 용인 땅을 저희 집사람하고 가서 매입을 할 당시에 전원주택지로 전부 다 조성이 되어 있었고 일반적으로 그런 주택지를 사서 집을 짓는 것으로 알고 있었습니다.,L,여성,집사람,,,18,283,3,기획재정위원회,A
자세히는 파악을 못 했습니다마는 최근에 청문회 준비 과정에서 지난 5년간 제가 벌어들인 소득 또 저희 집사람이 벌어들인 소득 또 소득세 납부 실적에 대해서는 자료로 제출한 것으로 알고 있습니다.,L,여성,집사람,,,18,283,3,기획재정위원회,A
"제가 가지고 있는, 지금 살고 있는 집과 그리고 집사람 명의로 되어 있는 개포동 아파트가 살 때에 비해서 아까 위원님들이 지적하셨듯이 지금의 시세가가 많이 올랐습니다.",L,여성,집사람,,,18,283,3,기획재정위원회,A
정말 여성이 행복해야 가족이 행복하고 가족이 행복해야 여성이 행복하다는 그 생각을 계속 가지시기 바랍니다.,L,여성,"여성, 가족",,,17,254,3,여성위원회,A
저는 여성이나 흑인이나 동성애나 사람이 태어날 때 선택할 수 없었던 것을 가지고 차별받아서는 안 된다고 생각합니다.,H,모두,"동성애, 선택할 수 없었던, 차별",,,20,364,2,교육위원회,A
그런데 사실상 저출산고령사회위원회는 이름도 저출생으로 바꿨으면 좋겠고요.,H,모두,저출생,,,21,391,1,예산결산특별위원회,A
"정말로 이 대한민국이 여성인 나를 밤에 늦게 다니지 말아라, 치마 짧게 입지 말아라 이렇게 얘기할 게 아니라 치마를 아무리 짧게 입어도 밤에 다녀도 ‘그래, 대한민국은 안전해’라는 생각을 최소한 절반의 국민들은 절반의 여성들은 가질 수 있게끔 대책을 마련해 주시면 좋겠습니다.",H,여성,"여성, 밤에 늦게, 짧게 입지 말아라, 안전",,,21,391,1,예산결산특별위원회,A
제가 방카슈랑스 문제로 문제 제기를 하니까 어떤 보험회사에서 보험설계사를 여러 분 모시고 저한테 와서 해서는 안 되는 일을 하면서 제 감성을 자극하기 위해서 여성 모집인들이 와서 눈물을 흘리고 갔습니다.,L,여성,"감성, 눈물, 여성",,,17,250,,정무위원회,A
사실은 안산시민들뿐만 아니라 전국에 아이들을 둔 엄마들이 다 같이 걱정하는 그런 사안이거든요.,L,여성,"엄마, 아이",,,21,384,2,예산결산특별위원회,A
질문에 들어가기 전에 먼저 권력의 시녀가 되어 버린 대한민국 국회의 서글프고 참담한 현실을 짚고 넘어가지 않을 수 없습니다.,L,여성,시녀,,,15,198,8,국회본회의,A
다시는 타 동료 의원의 대정부질문에 끼어들어서 정부의 시녀이기를 자원하는 추태가 재현되지 않도록 해야 할 것입니다.,L,여성,시녀,,,15,198,8,국회본회의,A
그래서 새로운 검찰총장이 들어서고 또 간부들이 바뀌고 또 서울지검장도 바뀌고 해서 좀더 새로운 모습으로 검찰이 우리 국민들에게 뭔가를 보여주기를 기대했는데 지금 하고 있는 것은 과거정권보다 더 권력의 시녀노릇만 하고 있는 것 아닙니까?,L,여성,시녀,,,15,208,7,법제사법위원회,A
특히 여성계까지 전부 피해의식에 젖어 가지고 여성으로만 구성된 조직이고 계급도 낮고 발언권도 약하니까 국군 개조 개혁의 희생양으로 등장되었다,L,여성,"여성계, 피해의식",,,16,215,,법제사법위원회,A
그래서 결국 간호병과 장병들은 물론이고 지금까지 약 3000여 명의 졸업생이 배출되어서 의료계라든가 사회 여성 지도자로서 활동하고 있습니다마는 특히 여성계까지 전부 피해의식에 젖어 가지고 여성으로만 구성된 조직이고 계급도 낮고 발언권도 약하니까 국군 개조 개혁의 희생양으로 등장되었다는 주장인데 어떻습니까?,H,여성,"여성계, 피해의식",,,16,215,,법제사법위원회,A
"대개 다 교내에서 이루어진 일이라고 하는데 성희롱예방교육을 좀더 철저히 해야 되고 성희롱사건을 처리하는 데 마냥 끌 일이 아니라 시간을 정해 놓고 해야 되겠고, 그다음에 중징계를 내려야 되는데 그냥 유야무야 넘어가고 이것을 계속해서 고발한 여성만 매도당하는 일이 많이 벌어지고 있고요.",H,여성,"성희롱사건, 여성, 매도",,,16,225,17,예산결산특별위원회,A
"다만 이 법률안에 대하여 두 가지 수정의견을 말씀드리면, 성폭력피해자 중에는 남자아이도 있고 또 여러 가지 사정에 의해서 여자경찰관 앞에서 자신이 성폭력피해자라는 사실을 밝히기를 꺼려하는 경우도 있을 수 있다는 점을 감안할 때 ‘부득이한 사유로 여자경찰관이 동석할 수 없는 경우’뿐만 아니라 ‘피해자가 원치 않는 경우’에도 여성경찰관이 아닌 가족, 변호인 등 피해자가 지정하는 자를 동석시키도록 하는 방안이 모색될 필요가 있습니다.",H,여성,"성폭력 피해자, 남자아이",,,17,252,1,여성위원회,A
지금 여성 발전과 관련된 예산을 우리가 알려고 하는 것은 앞으로 우리가 선진국이 되는 데 어떻게 여성을 활용할까 하는 프라이어리티(priority)에 비해서 예산이 제대로 배정되고 있는지 하는 것을 알자는 선의의 뜻이라고 생각합니다.,L,여성,"여성, 활용",,,17,256,5,예산결산특별위원회,A
"보십시오, 다행히 글씨를 작게 쓰는 여판사가 한 세 줄 쓰니까 몇십 자가 돼서 그나마 이유가 설명됩니다.",L,여성,여판사,,,17,256,,법제사법위원회,A
그러니까 자꾸 무슨 검찰이 권력의 시녀다 하는 비난을 안 받겠습니까?,L,여성,시녀,,,18,284,,법제사법위원회,A
그거는 다달이 계산을 해서 공관관리인이 기름 사면 그것을 모아 놓았다가 집사람한테 청구를 하면……,L,여성,집사람,,,18,294,4,국무총리(김황식)임명동의에관한인사청문특별위원회,A
"여성은 소수였습니다. 그렇지만 지금 우리가 세계적으로 경제활동인구를 늘리고 또 여성이 사회진출을 통해서 자기 행복을 꾀하고 공헌하기 위해서는 여러 가지 약자의 위치에서 도와줘야 되는 장치, 제도적으로 그러한 점이 있다는 것을 후보자님께서 아시지 않습니까?",H,여성,"여성, 소수",,,18,294,4,국무총리(김황식)임명동의에관한인사청문특별위원회,A
"제가 먼저 제기하고자 하는 것은, 어제 뉴스에서도 상당히 많이 나왔습니다마는 이런 발언을 하셨습니다. “4대강 사업에 대해서 며느리가 보기 싫다고, 그래서 임신 못 하게 방해하던 시어머니가 이제 임신해 놓고 나니까 그것을 낙태시키라고 소리 지르고 있다, 몇 개월 동안.” 이 발언은 근본적인 문제가 있는 발언입니다.",H,여성,"문제, 발언",,,18,294,,국토해양위원회,A
"4대강 사업에 대해서 며느리가 보기 싫다고, 그래서 임신 못 하게 방해하던 시어머니가 이제 임신해 놓고 나니까 그것을 낙태시키라고 소리 지르고 있다, 몇 개월 동안.",L,여성,"며느리, 시어머니, 임신, 낙태",,,18,294,,국토해양위원회,A
"그런데 지금 말씀하신 것은…… 조금 가라앉히시고 조금 냉정하게 봅시다. 우선 이 발언이 대단히 악성을 가지고 있습니다. 첫째는 마치 여성을 정쟁의 도구화하는 듯한 느낌이 있고 또 생명 경시에 대한 그런 내용이 또 있습니다. 또 야당의 역할에 대해서, 물론 입장이 다를 수 있어요. 그렇게 말씀할 수도 있고 우리는 더 심하게 말할 수도 있는 거예요. 야당은 어쨌건 간에 국민을 보고 4대강 사업에 대한 비판을 하는 겁니다. 그리고 그 판단은 오로지 국민과 역사에 맡기는 겁니다. 그렇다고 해서 장 위원의 이 발언이 정당화될 수는 없는 겁니다.",H,여성,"여성, 도구화, 정당화",장광근 위원님 말씀을 들어 보니까 열심히 하시는 것은 좋은데 문제된 발언에 대한 해명은 아닌 것 같아요. 그것을 하게 된 여러 가지 개인의 사정이랄지 그런 것들은 설명하셨는데 문제는 아까 그 악성 발언이 지금 문제가 된 겁니다. 그래서 그것이 얘기가 나왔던 것이고 그 발언 자체가 문제가 있으면 여당의 중진답게 “유감이다.” 하고 넘어갈 수 있는 거예요. 그게 우리 상임위 전체의 문제고 나는 솔직히 여야의 그런 것을 떠나 가지고 우리 국토 상임위가 나름대로 국감에서 어떤 품격을 갖고 어떤 수준으로 갈 것인가 이 문제에 대해서 고민이 있는 거예요.,"그러면 이게 만약 그런 식으로 나가게 되면 김진애 위원이라고 못 할 게 뭐 있어요? 국회 윤리위에 제소도 할 수 있고 별의 별 방법 다 있습니다. 이게 커지면 누가 손해입니까? 장 위원님 손해예요. 그리고 우리 국토해양위가 망가지는 겁니다. 아까 나온 수준에서 위원장이 그 정도 말씀하시는 게 뭐가 잘못됐습니까? 충분히 저는 할 수 있는 얘기라고 생각합니다. 그 정도 수준에서 이것을 수습하자 하는 그런 방안들이 나왔는데 여기서 말이지요, 장 위원이 격정을 가라앉히지 못하고 말이지요.",18,294,,국토해양위원회,A
"여성이 고위직이 되려면 말이지요, 여성이라는 건 어떻든 보육을 해야 되지 가사 문제를 해야 되지 하니까 자연히 그쪽에 더 중심을 둘 가능성이 많다고.",L,여성,"여성, 보육, 가사",,,18,303,,행정안전위원회,A
