utterances,utterances_en,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
"차관님, 위원님들께서 어느 한 가지 방법을 딱 정해서 이렇게 하라는 말씀은 아니고 다만 저소득층에 산모들 임신, 출산의 부담을 좀 경감시켜 주자는 차원에서 여러 가지 현실적인 방안이 없느지에 대해서 좀 검토를 해 봐 달라는 그런 주문입니다.","Vice Minister, the committee members haven't proposed a specific method. I simply want to alleviate the burden of pregnancy and childbirth for low-income mothers, and I request that you consider various practical measures to achieve this.",H,Women,Mother,,,20,343,1,Budget and Accounts Review Subcommittee (Health and Welfare Committee),B
두 번째로 제가 본질적으로 제기하고 싶은 것은 법적인 근거에 의해서 탈의를 시킨다 하더라도 하절기의 그런 상황을 감안했을 때는 뭔가 국가는 그 여성에 대해서 위험이 적은 대용품을 만들어서 그 대용품을 착용할 수 있게끔 해주는 게 우리 인권 수준이 이제 이 정도 올라와 있고 경제의 규모나 교육 수준이 그래도 세계 상위에 있는 대한민국으로서 해줘야 될 일이 아닌가?,"The second point I want to raise is this: even if removing clothing is legally required, considering South Korea's globally renowned human rights standards, economic scale, and educational level, shouldn't the government provide women with alternatives that are less dangerous and more suitable for their use?",H,Women,Undressing and Human Rights,,"Let me give an example. In holding cells, I’ve actually seen people commit suicide, often using men’s undershirts. But we don’t make them take those off just because they’re dangerous, do we? So while we do have women remove their bras for safety, we should study and provide a substitute—strapless, with coverage roughly like a men’s undershirt, that preserves the basic function—so that even in summer, with only a thin outer layer, women don’t feel humiliated. They would remove what they were wearing and be given a new, low-risk alternative. And isn’t it time for the state to prepare such substitutes—non-wired bras and the like—since we have authority over detention facilities? It would be even better if the prosecutor’s office researched this.",18,278,,Legislation and Judiciary Committee,G
그런데 2014년도 우리나라 성 격차지수의 순위를 보면 2014년도에 142개국 중에서 117위입니다. 그런데 지금 현재 2013년에 비해서 6단계가 하락한 상태인 건 아시지요?,"Did you know that in 2014, Korea ranked 117th out of 142 countries on the Gender Gap Index, a drop of six places from 2013?",H,Women,Gender Gap Index,,,19,338,3,Gender Equality and Family Committee,E
여성의 사회참여가 남자와 동등하게 이루어지고 있습니다. 그런데 남자는 군에 가서 2년 이상을 복무하고 여성은 그 기간 동안 사회활동을 한다면 동일선상에서 비교할 때 여자만 유리한 입장이 될 것이며 남자는 불리하게 될 것입니다. 분명한 역 성차별입니다.,"In terms of social participation, the gender gap is roughly equal. However, if men and women were on the same level, and men served in the military for more than two years while women engaged in social activities during that time, women would be in a more advantageous position. This is clearly reverse sex discrimination.",L,Women,reverse sexism,,,15,198,,National Defense Committee,P
"아니, 그것하고는 별개의 문제라는 것이지요. 동성애가족에 대한 논란은 그동안 계속 되어 왔고 이것은 동성애의 문제가 아니고 성전환수술을 하는 경우 대체로 보면 거의 대부분이 일종의 질환을 가진 경우들이 많다고 하는 것이거든요. 그래서 성전환을 하게 된다는 것인데 그냥 호적만 정정하면 끝나는 것이 아니고 당장 생기는 문제들이 군입대 문제를 어떻게 할 것이냐 이 문제도 지금 생기지 않습니까?","No, that's a separate issue. The debate over same-sex families has been ongoing, but it's not about homosexuality. Most people who have undergone sex reassignment surgery claim they transition because they have some kind of medical condition. After sex reassignment, it's not simply a matter of correcting family registers. First, we need to find a solution to military conscription.",L,Sexual minorities,Sex reassignment surgery is a kind of disease,,,17,,,"Standing Committee – Gender Equality and Family Committee (Tuesday, June 27, 2006)",R
"그리고 나머지 기존 인력을, 여성과 장년 인력을 활용하는 것 그다음에 외국 인력 보완하는 것, 이것은 이민정책과 관련되는 부분입니다만 저는 저출산을 해소하기 위한 핵심에 아직 들어가지 못하고 있는 것 아닌가 그런 생각이 듭니다.","And for the remaining existing workforce, there are ways to supplement the workforce, including utilizing women and older workers, and, although related to immigration policy, supplementing foreign workers. I believe we haven't yet reached the core of the solution to addressing the low birth rate.",H,Women,Human resources,,,20,344,2,Special Committee on Measures for Low Birthrate and an Aging Society,G
"그리고 대법원, 서울고등법원 또 전국 각급 법원에서 일하고 있는 여성 청소미화원, 지금 비정규직이지요?","And the female cleaners working at the Supreme Court, Seoul High Court, and courts nationwide are currently non-regular workers, right?",H,Women,Women,,"They say they’ve been paid the minimum wage so far, and although it rose by 8.3% this year, there are reports that when they signed their contracts with the court at the end of February, the increase wasn’t applied—some wages were frozen and some were even cut.",18,278,17,Legislation and Judiciary Committee,G
"그러니까 여성폭력에 대해서만 이런 기소유예제도가 적용되고 있는 것이 가장 큰 문제라고 생각합니다. 일반적으로 폭력사건이 다루어졌을 때 상담조건부 기소유예제도라고 하는 것이 있습니까? 성폭력 관련, 여성에 대한 폭력 관련해서는 법적으로조차도 이런 사회적인 면죄부가 주어지고 있다는 것이 큰 문제거든요",I believe the biggest problem is that this deferred prosecution system is only applied to cases of violence against women. Does the conditional deferred prosecution system apply to other violence cases in general? The fact that this kind of legal social immunity is granted in cases of sexual violence and violence against women is a major problem.,H,Women,Violence against women,,,17,262,,Gender Equality and Family Committee,D
한 말씀만 더 드리면 이게 저출산․고령화라고 그러면 젊은 여자들도 이 말을 굉장히 싫어하는 게 아이 지도도 있었잖아요.,"Let me add one more thing. Young women dislike the expression “low birth rate and aging population,” and there was also a children’s map related to this.",H,Women,Map of women of reproductive age,,,20,,,"Subcommittee – Health and Welfare Committee – Bill Review Subcommittee (Wednesday, November 22, 2017)",R
"그리고 저출산 기본계획의 성평등 관점, 다양한 형태의 가족 포용에 대해서 적극적으로 개입해서 의견을 조율하겠습니다.","We will actively engage in discussions on the gender equality perspective of the Basic Plan for Low Birth Rates and the inclusion of diverse forms of family, coordinating our opinions.",H,All genders,A gender equality perspective and the inclusion of diverse family forms,,,21,382,,Gender Equality and Family Committee,P
"여성가족부가 공공부문의 여성 일자리를 책임지고 있는 부처라면 저는 아이돌보미 사업에 대한 이 급여 수준을 정말 획기적으로 올려야만 된다, 그래서 가장 대표적인 사업으로 만들려면 이것을 급여를 개선하지 않고서 서비스 영역을 가사도우미 영역까지 또는 보육교사를 같이할 수 있는 영역까지 다양화하는 것으로는 절대 이 아이돌보미 사업을 통해서 여성들이 만족하고 또 여성들의 노동권을 보장하고 그렇게 될 수 없다는 생각이 듭니다. 그래서 오전에 말씀드린 이렇게 자꾸 되는 것은 여성의 비정규직화, 여성은 일하면 비정규직 이것을 완전히, 이 아이돌보미 사업이 영구히 공고히 하는, 구조화하는 그런 아주 나쁜 사업이 될 수 있다, 저는 이렇게 생각이 듭니다. 그래서 급여의 획기적인 개선이 필요하다는 말씀을 드리고요.","If the Ministry of Gender Equality and Family is responsible for women's employment in the public sector, I believe the wage level for the child care service should be significantly increased. To make this a flagship service, I believe that simply diversifying the service area to include domestic helpers or childcare workers will not be enough to ensure women's satisfaction with the service and guarantee their labor rights. Therefore, as I mentioned this morning, I believe the child care service could become an undesirable business that permanently solidifies and structuralizes women's irregular employment. Therefore, to prevent this, I believe that a significant wage increase is necessary.",H,Women,"Women's employment, wage improvements, labor rights, and the casualization of employment","So rather than patting ourselves on the back for raising the hourly pay for childcare helpers to 5,500 won, we need to ask whether this job truly has sufficient value—especially since it is being held up as a flagship example of job creation for women who have experienced career breaks. The Ministry of Gender Equality and Family should, as a first step, firmly establish these childcare-helper positions as decent, quality jobs for women.

To that end, the most urgent task is a thorough fact-finding survey on their treatment and working conditions; the minister should launch it before it is too late. Looking at the work environment, on average, part-time carers work about half a day, and as you know, the hourly rate rose from 5,000 to 5,500 won. That comes to roughly 500,000 won a month. If that is what these women earn from their work, you can hardly call it a wage.

So instead of boasting that we increased the number of jobs for women, brought women back into the workforce, and prevented career breaks, we should ask: if they take home 500,000 won a month, can we really call this a job for women? That is why we need to grasp the realities. And while we say we raised the rate from 5,000 to 5,500 won and ensured coverage under the four major social insurances, I compared this with a similar program the Ministry runs—multicultural visiting instructors—who earn 12,500 won per hour. That is twice as much.",,19,322,1,Gender Equality and Family Committee,C
"제가 혹시 직무관련성 여부를 말씀하시는데 저희 집사람은 컴퓨터를 판매하는 게 아니고 컴퓨터를 누가 대기업에 납품을 하거나 하면 그 컴퓨터를 보통 사람들이,","You're talking about my job-relatedness, but my wife doesn't sell computers. She's only partially involved in the process of delivering computers to large corporations.",L,Women,Housewife,,,20,351,2,Safety Administration Committee,A
길거리에 돈이 있으면 집어 가는 사람이 있는 것처럼 여자들이 야한 옷을 입고 다니면 성폭행하는 사람이 있을 수 있다,"Just as there are people who steal money from the street, there are also people who sexually assault women who wear revealing clothing.",L,Women,"Sexy clothes, sexual assault",,,19,326,4,Gender Equality and Family Committee,P
"주총은 반드시, 제가 분명히 그때 참석했다는 얘기를 들었기 때문에 저는 집사람 말을 믿고요.",I clearly heard that my wife attended the general meeting and I believe her.,L,Women,Housewife,,,18,2010,2,"Culture, Sports, Tourism, Broadcasting and Communications Committee",B
"떠오른 것이 제가 퇴근했을 때 집사람이 김모 씨가 집에 다녀가면서 보실 자료라고 행정봉투를 전해 주었고, 우리 집사람은 그 행정봉투가 봉해진 채로 제 책상 위에 올려놓았고 저는 그것을 보고 총무과의 민원실에 있는 사람이 다녀갔다라는 얘기를 하는 순간 틀림없이 김모 씨라고 생각을 했고 이것은 민원실에서 저한테 검토할 자료를 올릴 이유도 없다, 문제가 있다라고 짐작을 해서 그다음 날 갖고 가서 본인에게 “이것이 무업니까?” 이렇게 상황이 좀 됐고, 김모 씨가 당황해하는 그런 표정으로 쭈뼛쭈뼛했습니다.","What came to mind was: When I got home from work, my wife told me that someone from the General Affairs Department's Civil Affairs Office had visited our home and handed me an administrative envelope, saying it was documents I needed to review. My wife left the envelope, still sealed, on my desk. I was certain it was Mr. Kim. I suspected the Civil Affairs Office had no reason to submit documents for my review and that this was problematic. The next day, I brought the envelope to Mr. Kim and asked, ""What is this?"" He looked flustered and hesitant.",L,Women,Housewife,"We spoke on the phone, and the reporter asked, “Mr. Kim gave you money and you returned it, right?” and, “You returned it in the General Affairs Chief’s office, didn’t you?” I said, “Yes.” He then said, “If no one was watching, you could later say you hadn’t returned it…” I replied, “Right. If no one was there, it could end up like that. In that case, I should have returned it in front of others.” After hanging up, I thought it over, and the situation came back to me.",,18,300,3,Environment and Labor Committee,Q
"다 떠나서 그러면 관할하고 있는 지역에서 경찰이 한 번도 벗어난 적이 없어요? 있어요, 없어요? 그 여직원이 감금되고 있는 그 장장 시간에 경찰이 항상 옆에 붙어 있었던 거예요?","To put it simply, the most important point is, did the police ever leave their jurisdiction? Did they? Were they always present during the extended period of detention that female employee was held captive?",L,Women,Women,,,19,317,2,Transcripts of the Parliamentary Inquiry into the National Intelligence Service Online Comment Scandal,A
"기업은행 승진체계, 콘크리트 천장에다가 다시 신규채용 절차를 밟아서 승진을 해야 되는데 문제는 여기의 거의 90%가 여성이라는 거예요. 이래서 되겠습니까? 지금 TF 구성해서 전환하려고 하는 그 내용 중에 이 내용이 다 포함돼 있습니까?","The KEB Hana Bank promotion system has a concrete ceiling, requiring existing employees to go through the new hiring process again for promotion. The problem is that nearly 90% of these employees are women. Is this acceptable? Does the current task force proposal for change include this requirement?",H,Women,Promotion Structure,,,20,2017,,National Policy Committee,G
그렇기 때문에 원칙 뿐만이 아니라 굉장히 자세한 방향까지를 결정하셔서 이번 구조조정에서는 지금 증인들께서 말씀하시는 옳은 방향 속에 여성의 정리해고가 가장 최우선적으로 부당하게 이루어지지 않아야 된다는 부분까지 들어가지 않으면 그것은 옳은 방향이 아니라고 생각하기 때문에 구체적인 방안을 세울 것을 요청합니다.,"Therefore, if this restructuring doesn't consider not only the principles but also the detailed direction, ensuring that women aren't unfairly laid off, I don't believe it's the right direction, as the witnesses here are advocating. I urge you to develop concrete measures to achieve this.",H,Women,Layoffs among women,"Member Han Myeong-sook: Let me raise just one point. During the IMF crisis, restructuring was severe, and when layoffs occurred, the people on the very front line were women workers. For whatever reason, women have consistently found themselves first in line to be laid off. With the current public-sector reform, could you briefly tell us what efforts the KCTU or the FKTU have made to prevent women from being unfairly targeted for layoffs, and what plans you have going forward?

Witness Kim Tae-il: Frankly, we have identified this as a problem with the layoff system as a whole. Our only stated principle is that layoffs must not focus on women or lower-grade workers, but we have not yet translated that into concrete policies...

Member Han Myeong-sook: A recommendation. I believe this applies equally to government ministries and the labor movement. There is considerable anger about this among women’s groups and women workers.",,16,215,,National Assembly Inspection of State Affairs_Environment and Labor Committee,N
"지금 그 군대 내의 동성애 관련한 유사강간행위나 이런 부분들에 대해서, 지금 일부 외부에서는 ‘이런 부분들을 인권적 차원에서 개정해야 되지 않느냐’라고 말씀하시는 분들도 있습니다. 그런데 군대 내 상황을 전혀 이해하지 못하는 부분이 아닌가 저 개인적으로 그렇게 생각을 하고요. 군대 내에는 또 군대에서의 어떤 규율과 앞서 말씀하신 대로 상명하복의 어떤 군대 내 기율이 있습니다. 그것을 지키고 군대 내 조직을 운영하기 위해서는 그러한 부분들이 꼭 필요하다고 생각하는데, 장관님 견해는 어떠신가 한번 말씀……","Some people are saying, ""Shouldn't these regulations be revised for human rights reasons?"" regarding the recent incidents of homosexuality and quasi-rape within the military. However, I personally believe that this is the opinion of those who completely lack understanding of the military situation. Within the military, there are certain disciplines and, as you mentioned, the principle of obedience to orders. I believe these regulations are essential for operating the military organization while adhering to them. Minister, please share your opinion.",L,Sexual minorities,"Homosexuality in the military, acts of quasi-rape, discipline, and obedience to superiors",,,20,2016,,"Parliamentary Audit - Legislation and Judiciary Committee (October 7, 2016)",R
두 번째 사례입니다. 프리랜서인 여성 연예인 A씨입니다.,"The second case is that of Ms. A, a freelance female entertainer.",L,Women,Women,"Let me present a few cases. (As shown in the video.) Mr. Kim, who runs a karaoke bar, has total income of 18 million won but an assessed property base of 2.3 billion won. After paying premiums for a long time as a community-based enrollee, he registered the karaoke bar as a workplace covered by health insurance, and his premium dropped from 430,000 won to 100,000 won. On learning this, he even made a fuss demanding a refund of the community-based premiums he had paid. How can there be a fourfold difference for the same person? That’s one example.","Working at the same workplace doesn’t mean there are no problems. At K Law Firm, one of the country’s leading large firms, Lawyer A earns 78 million won and Lawyer B earns 135 million won, yet both pay the same insurance premium of 2.45 million won. Another case involves a low-income enrollee: Mr. Park, who has a physical disability and a visual impairment, worked hard and bought a parcel of land worth 50 million won. He has almost no income, yet he must pay a 60,000 won premium, which he finds very burdensome.",19,,2013,"Parliamentary Audit – Health and Welfare Committee (October 17, 2013)",R
60년대에 보훈제도가 생기면서 6․26 전몰군경의 미망인에게는 보상을 해 드렸고요.,"In the 1960s, with the establishment of the veterans' welfare system, compensation was provided to the widows of the soldiers and police officers who died in the Korean War.",L,Women,Widow,,,19,334,2,Second Subcommittee on the Examination of Bills,D
그래서 저는 우리나라의 모성보호가 반드시 이루어져야 되지만 그것이 기업주의 부담으로 이루어져서는 안된다고 생각이 됩니다. 그래서 노동부가 육아휴직을 정착시키려면 사업주가 육아휴직을 보냄으로 해서 대체인력을 쓰고 그로 인해서 겪는 모든 부담을 완전히 장려금으로 100% 지급해야만 제대로 정착될 수 있다고 생각합니다.,"Therefore, I believe that while maternity protection is essential in our country, it shouldn't be a burden on employers. Therefore, if the Ministry of Employment and Labor is to establish parental leave, the government should fully cover all costs incurred by employers replacing employees on parental leave, in the form of incentives.",H,Women,Maternity protection,,,16,,,"Parliamentary Inspection of State Affairs – Environment and Labor Committee (September 17, 2002)",R
직장에서의 갑질 문제와 이 대상은 대부분 여성입니다. 저는 이것이 여성의 노동권을 침해하는 것이라고 보기 때문에 이 문제는 문제가 제기되었을 때 정말 정확하게 본질적 대응과 사회적 장치를 만들어야 된다고 생각하고 있습니다.,"Most victims of workplace abuse are women. I believe this is a violation of women's labor rights, and we must address this issue with a clear and fundamental response and establish social mechanisms.",H,Women,"Women, labor rights, and abuse of power",,,20,363,1,House Steering Committee,C
"저는 이 많은 여군들에게 이제 여성 장군으로서 여성성, 어려움이 아니라 당당히 갈 수 있는 장군으로서 따뜻한 리더십과 강한 리더십을 가질 수 있는 장군의 기회가 주어져야 된다라고 하는, 그래서 여군 속에서도 유리천장이 없어져야 된다라고 하는 것을 말씀드리도록 하겠습니다.","I want to say that these many female soldiers should be given the opportunity to overcome their femininity and difficulties and confidently assume warm and strong leadership as female generals, thereby breaking down the glass ceiling for female soldiers.",H,Women,Glass ceiling,,,20,351,2,National Defense Commission,E
"그리고 최근 5년간 여군이나 여 군무원이 피해자가 돼서 처리된 사건현황을 보면 총 110건 중에서 62건, 전체의 56.4%가 ‘공소권 없음’ ‘증거 불충분’ ‘혐의 없음’으로 유야무야 됐습니다. 이런 것들이 계속 군 내에 있어서는 안 되는 그런 성범죄를 가져오고 있다고 보기 때문에 죄질이 아주 나쁜 이번 사건에 대해서는 정말 철저한 수사를 통해서 일벌백계해서 앞으로 이런 유사한 사고가 재발되지 않도록 그렇게 강력하게 응징해야 된다고 보는데, 장관님 어떻게 생각하십니까?","In the past five years, out of 110 cases involving female soldiers or civilian employees, 62 cases, or 56.4% of the total, were dismissed with the following reasons: ""No right to prosecute,"" ""Insufficient evidence,"" or ""No charges."" I believe these phenomena are one of the reasons why sexual crimes in the military remain elusive. Therefore, I believe this case, with its heinous nature, requires a thorough investigation and severe punishment to prevent similar incidents from recurring. Minister, what are your thoughts on this matter?",H,Women,Women,,,19,2013,,"Legislation and Judiciary Committee (October 28, 2013)",R
저는 저희 집사람보고 그림 팔지 말라고 정말 했습니다.,I told my wife absolutely not to sell that painting.,L,Women,Housewife,,,18,284,3,Special Committee on the Confirmation Hearing for the Motion to Approve the Appointment of Prime Minister Chung Un-chan,M
"저희들이 지난해 교원 임용시험에서 남성을 일정비로 채용하는 것을 검토했습니다마는 공개경쟁원칙, 남녀평등권의 침해라는 입장 때문에 여성계의 반대 입장이 있었고, 또 교육적으로도 여성 교원이 많은 것이 사실상 어떤 부작용이 많다는 것들은 별로 없습니다.","Last year, we considered hiring a certain percentage of men in the teacher recruitment exam, but there was opposition from women's groups, who argued that it violated the principle of open competition and infringed on gender equality. Furthermore, educationally, the mere presence of more female teachers has had virtually no negative impact.",H,Men,The right to gender equality,,,17,250,,National Assembly Audit — Education Committee,K
저 상가를 처남과 제 집사람에게 2분의 1씩 각 증여를 했습니다.,"I gifted that commercial building to my brother-in-law and my wife, each with a 50% stake.",L,Women,Housewife,,,21,383,5,Legislation and Judiciary Committee,A
얼마 전에 초등학교 여교사들이 성희롱 당했다고 정부에 진정서 낸 것이 있었지요?,"Recently, female elementary school teachers filed a complaint with the government, claiming they were sexually harassed, right?",L,Women,Women,,,16,220,1,Special Committee on Women,O
